C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,time
-3.9730431368999963,-4.538702297548088,-3.8453864518181002,-4.738067463279871,-3.9236504833584895,-3.7965524518455567,-3.9407527673123353,-4.339710737665174,-3.765547888584228,-5.271645383234681,-4.08074188216801,-3.73894143924874,-4.249861171814654,50
-3.8981319393703933,-4.529869871571621,-3.8351461993564553,-4.739709165644259,-3.9261627882103602,-3.7827919372932546,-3.942670902987838,-4.326601288684254,-3.7665118681031173,-5.141152064165777,-4.038115400037062,-3.7385492953305426,-4.245586725681376,51
-3.7893193239806786,-4.517040289313832,-3.8202716720581535,-4.742093828202748,-3.929812048542639,-3.7628040365931943,-3.945457100063932,-4.307559096368904,-3.767912101126905,-4.951603374423356,-3.9761981011753185,-3.7379796848216347,-4.239377858670263,52
-3.65644763785153,-4.501374015501559,-3.8021083045531925,-4.745005752834472,-3.934268180506176,-3.738396700562469,-3.948859340714641,-4.284306570074283,-3.769621933412235,-4.72014442162231,-3.9005905452788197,-3.7372841302806115,-4.231796176842623,53
-3.5093592281036226,-4.484031514861634,-3.7820015314715687,-4.748229241418561,-3.939201100251819,-3.7113778800181674,-3.952625607113985,-4.258566119155543,-3.7715147107157474,-4.463920313377528,-3.816893292043599,-3.7365141542660654,-4.223403286259762,54
-3.357896441857638,-4.4661732521208934,-3.7612967874432797,-4.751548595834147,-3.9442807239304183,-3.6835555257773804,-3.9565038814359856,-4.232060152967845,-3.773463778794085,-4.200076157303907,-3.730706901165696,-3.7357212793365893,-4.214760792982986,55
-3.2119016262342504,-4.448959692006173,-3.741339507098322,-4.754748117960362,-3.9491769676928232,-3.6567375886571996,-3.960242145854666,-4.206511080866347,-3.7753424834038913,-3.945757061016335,-3.6476319323411466,-3.734957028050779,-4.2064303030736045,56
-3.081217128354141,-4.433551299244306,-3.723475125066694,-4.757612109676336,-3.9535597476898814,-3.6327320194747164,-3.963588382544046,-4.183641312206204,-3.777024170301808,-3.71810813212971,-3.5732689452659887,-3.734272922967226,-4.198973422592921,57
-2.975685295337985,-4.421108538562129,-3.709049075978391,-4.759924872861204,-3.9570989800724434,-3.6133467690470202,-3.966290573678148,-4.165173256342573,-3.7783821852444763,-3.5342744782589177,-3.513218499636258,-3.7337204866445246,-4.192951757602244,58
-2.9051484743064617,-4.412791874686477,-3.6994067944634113,-4.761470709394094,-3.959464580991358,-3.6003897881912024,-3.968096701430993,-4.1528293226306126,-3.77928987398854,-3.4114012070188564,-3.473081155147993,-3.7333512416412686,-4.188926914162879,59
-2.8794490123802476,-4.409761772344186,-3.6958937151517524,-4.762033921154139,-3.9603264665974742,-3.5956690277243544,-3.9687547479766034,-4.14833192042548,-3.7796205822906406,-3.3666334260244155,-3.45845747149723,-3.7332167105160514,-4.187460498336134,60
-2.8254046965304656,-4.401964511023914,-3.687261258128435,-4.763207431624188,-3.9636493193096114,-3.5914731276916445,-3.9719278681539887,-4.13828276415181,-3.781924911718356,-3.3698645339600644,-3.4622281087483673,-3.7355315645003273,-4.1894889565971996,61
-2.6787129820810587,-4.380800516011746,-3.6638303033508586,-4.766392674328607,-3.9726684909568397,-3.5800842561742883,-3.9805406229211773,-4.1110064828375625,-3.788179520165011,-3.37863468407111,-3.4724626955728817,-3.741814739600504,-4.194994771877235,62
-2.462535718681931,-4.349611470730657,-3.629300475257588,-4.771086716208804,-3.985959901805387,-3.5633006560434484,-3.993233103630718,-4.070809857742882,-3.797396837875872,-3.3915591158137044,-3.48754524457743,-3.7510741555376073,-4.203108604921499,63
-2.2000347559829936,-4.31173905860362,-3.5873713982871895,-4.776786624206185,-4.002099472121481,-3.5429205701702857,-4.008645401635161,-4.021999670127915,-3.808589295096203,-3.4072530686439975,-3.5058597683686674,-3.7623177320326615,-4.212961116475248,64
-1.9143719436341493,-4.270524963053608,-3.5417426968782255,-4.782989465262158,-4.019663122171346,-3.5207422414259613,-4.0254176082870545,-3.968882701252802,-3.8207693220712686,-3.4243317820181396,-3.525790279553249,-3.7745533888066904,-4.2236829672837395,65
-1.628709131285303,-4.229310867503598,-3.496113995469261,-4.7891923063181325,-4.037226772221213,-3.498563912681637,-4.042189814938948,-3.915765732377689,-3.832949349046335,-3.441410495392282,-3.545720790737831,-3.78678904558072,-4.23440481809223,66
-1.3662081685863652,-4.19143845537656,-3.454184918498862,-4.794892214315514,-4.0533663425373065,-3.478183826808474,-4.057602112943391,-3.866955544762721,-3.844141806266666,-3.4571044482225757,-3.5640353145290686,-3.7980326220757736,-4.244257329645979,67
-1.1500309051872382,-4.16024941009547,-3.419655090405592,-4.7995862561957106,-4.0666577533858534,-3.461400226677634,-4.070294593652932,-3.8267589196680407,-3.8533591239775262,-3.4700288799651697,-3.5791178635336167,-3.8072920380128767,-4.252371162690243,68
-1.0033391907378322,-4.139085415083303,-3.3962241356280156,-4.802771498900129,-4.075676925033082,-3.450011355160278,-4.0789073484201195,-3.799482638353794,-3.8596137324241817,-3.4787990300762157,-3.5893524503581316,-3.8135752131130536,-4.2578769779702785,69
-0.9492948748880511,-4.13128815376303,-3.3875916786046982,-4.803945009370178,-4.078999777745219,-3.445815455127568,-4.082080468597505,-3.789433482080124,-3.861918061851897,-3.482030138011864,-3.5931230876092686,-3.8158900670973295,-4.259905436231344,70
-0.9520236070928669,-4.1318604975609805,-3.3780813450956755,-4.802646540127367,-4.078008313848791,-3.4415890554519275,-4.081567190553015,-3.78410857592851,-3.862410431801407,-3.4838210608706595,-3.5941742037667,-3.816323906238642,-4.260570767709986,71
-0.9594301659345099,-4.133414002155416,-3.352267582714042,-4.799122123611165,-4.075317197558485,-3.430117399189474,-4.080174007289399,-3.7696552592312713,-3.8637468645215045,-3.488682137201675,-3.5970272333368705,-3.8175014696222034,-4.262376667437728,72
-0.9703450947537732,-4.135703377347217,-3.3142262486779495,-4.79392824663992,-4.071351341972771,-3.4132118004869114,-4.0781208951114385,-3.7483556346248146,-3.8657163443195435,-3.4958458286368566,-3.601231697966595,-3.819236826187452,-4.265037993352294,73
-0.9835989368914502,-4.138483332937261,-3.2680332002055534,-4.787621396031981,-4.06653566019012,-3.392683573490943,-4.075627830323915,-3.7224918047455464,-3.868107855502877,-3.5045445968081483,-3.6063371193026903,-3.8213440448738263,-4.268269603391412,74
-0.9980222356883337,-4.141508578726426,-3.217764294515004,-4.780758058605693,-4.0612950653089985,-3.370344032348271,-4.072914789231611,-3.694345872229871,-3.8707103823788573,-3.514010903347495,-3.61189301899197,-3.823637194620762,-4.271786355492804,75
-1.0124455344852175,-4.144533824515591,-3.167495388824454,-4.773894721179406,-4.056054470427878,-3.3480044912055984,-4.070201748139306,-3.6661999397141964,-3.8733129092548375,-3.523477209886842,-3.6174489186812493,-3.8259303443676984,-4.275303107594196,76
-1.0256993766228943,-4.147313780105635,-3.1213023403520577,-4.767587870571466,-4.051238788645225,-3.32747626420963,-4.067708683351783,-3.640336109834928,-3.8757044204381703,-3.5321759780581337,-3.6225543400173446,-3.8280375630540724,-4.278534717633312,77
