C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,time
-2.258035898425145,-3.182514449998439,-2.8746714166456346,-3.2235654322498557,-3.827728227388113,-3.6849114898046493,-3.1619955127856167,-3.671451237644968,-3.942982573374908,-3.3038279910475365,-4.404714791959551,-3.640921296157571,-3.6155691593074235,-3.9409242560310416,-3.2711396838436557,-3.3240466734114453,-3.367794365247602,-3.838196232185439,-5.042244064347972,-3.5861738440793434,-6.282610612200448,-5.076749255377815,107
-2.235589218759839,-3.1948286188248534,-2.8967942248201806,-3.2450935963896095,-3.8851156146149237,-3.7128316771296386,-3.192695870133248,-3.706810321774197,-3.990372976978881,-3.324376661029823,-4.569071827422301,-3.672837567979804,-3.6418146087668797,-3.9897613159115775,-3.2870738304429024,-3.349483072567054,-3.3837743798806086,-3.887354888687839,-5.21921600628299,-3.6101593857221896,-6.333704882993844,-5.244397907085689,108
-2.214222051387146,-3.204752952574049,-2.9199586188283377,-3.266477700028356,-3.928096605300497,-3.7357108374424772,-3.2245638879761462,-3.7393875637347516,-4.0304360504841865,-3.3439416283463026,-4.7293744629668675,-3.719559863429097,-3.6853307412082175,-4.0241227375075725,-3.3064571225111874,-3.3759940055303774,-3.4057552412222707,-3.9633792408925275,-5.349699779390746,-3.651899193524981,-6.368375995317935,-5.377709569964191,109
-2.19421217174075,-3.211777616256945,-2.943936096949275,-3.2878325421322465,-3.9529633283059367,-3.752400767785577,-3.2571834039648295,-3.76777684912716,-4.060630741410445,-3.361937734260758,-4.881402986444252,-3.7836850580574453,-3.74956152098226,-4.040165290804303,-3.3297702304137795,-3.4032390155166166,-3.434463114582446,-4.071543441080794,-5.4197845175284876,-3.714955214458848,-6.381149563016284,-5.465876101908871,110
-2.1749989493230086,-3.2141842918890147,-2.9702184078732388,-3.3099302188993502,-3.95427183835628,-3.7611380555271308,-3.2930124748050127,-3.7933965886852077,-4.078308605915316,-3.378422162960162,-5.046033227088815,-3.8709677417585073,-3.8408575009024903,-4.030383109405921,-3.3596260710788624,-3.431450651888856,-3.473195869587005,-4.234676665392075,-5.422675529442459,-3.8051914134143963,-6.361580100067343,-5.503112902463754,111
-2.1559828593336285,-3.2115470761341944,-2.9998712656201176,-3.333080621882214,-3.9328429211094753,-3.7621337559758565,-3.333848263325258,-3.818492981082668,-4.084633451843823,-3.3940335147192786,-5.239238865592685,-3.981911852789653,-3.9591752472792523,-3.994591839404074,-3.396977792050704,-3.4611111750330483,-3.5230325957067636,-4.459992298204722,-5.369024070065644,-3.922171677731165,-6.308462986348787,-5.497414748372726,112
-2.1373833357523258,-3.205294755976103,-3.032027116463542,-3.356705243078706,-3.894365801825995,-3.7572013680849516,-3.3782832663603544,-3.8429015938300566,-4.0827826042466215,-3.4090587549335796,-5.4494469669934995,-4.11123828924844,-4.09836774470865,-3.939930519515286,-3.4398164096186963,-3.492254694698689,-3.581371288018996,-4.729340804158386,-5.2710881925354105,-4.060007838053671,-6.230185134553021,-5.458642563331132,113
-2.1194198125588146,-3.1968561183983595,-3.0658184066771454,-3.380225574486698,-3.844529705766315,-3.7481543908076165,-3.4249099807450945,-3.8664579944378925,-4.075933388174375,-3.42378484899854,-5.665084596328912,-4.253667949232433,-4.252287977786797,-3.873538188456082,-3.486132940072237,-3.52491532063528,-3.6456099416009806,-5.024572647892729,-5.1411259499891235,-4.21281172502644,-6.135133457372449,-5.3966572710343215,114
-2.1023117237328086,-3.1876599503845813,-3.100377582534557,-3.4030631081040585,-3.789023858190905,-3.7368063230970487,-3.472320903314268,-3.8889977504166895,-4.067263128677741,-3.43849876230963,-5.874578818636567,-4.403921730839197,-4.414788931109801,-3.8025538849429843,-3.53391839970072,-3.559127162592317,-3.713146551529993,-5.327538294047412,-4.991395395564146,-4.374695169293993,-6.031694867499474,-5.321319795177635,115
-2.086278503254024,-3.179135038918387,-3.134837090309409,-3.4246393359286578,-3.7335374843602396,-3.724970663906447,-3.5191085309026677,-3.910356429276966,-4.05994915080738,-3.4534874602623247,-6.0663566989541176,-4.556720532166295,-4.579723589273777,-3.7341166476925154,-3.5811638047935404,-3.5949243303193,-3.7813791128833105,-5.620088207262097,-4.83415458239784,-4.539770001500859,-5.928256277626497,-5.242491059456422,116
-2.0715395851021743,-3.172710170983396,-3.1683293762753326,-3.4443757499583665,-3.683759809534792,-3.7144609121890104,-3.5638653603450816,-3.930369598529239,-4.057168779613952,-3.469037908252095,-6.228845302319203,-4.706785251311287,-4.740944936874827,-3.6753655154212024,-3.6258601716400936,-3.6323409335657266,-3.8477056207382083,-5.884072852176435,-4.681661563627577,-4.702148052291551,-5.833204600445924,-5.170031987566028,117
-2.0583144032569747,-3.1698141335632255,-3.1999868867059575,-3.461693842191054,-3.645380058975036,-3.7070905668979353,-3.6051838884763026,-3.9488728256840244,-4.062099340148115,-3.4854370716744145,-6.3504716937694745,-4.84883678637174,-4.8923059585090645,-3.6334395268455664,-3.665998516529773,-3.671411082081095,-3.9095240701719627,-6.101342693430091,-4.546174392390717,-4.855941152310597,-5.75492674865016,-5.1138035032017966,118
