C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,time
-4.34056226681991,-5.114878903708585,-3.9884301934639512,-4.143617354475159,-4.405498268207985,-4.197446371468987,-4.077926985276179,-4.762299947924012,-4.316354348068388,-3.908356461007442,-3.494304563349805,-4.096256816505342,-3.3741948357380287,-3.268165108537891,-4.574823027841874,-5.957722458056239,24
-4.352801634591505,-5.0782195058495025,-3.915432845211379,-4.087744393875116,-4.347812114363349,-4.140042074164748,-4.018265761105877,-4.779819353925926,-4.359825507379912,-3.840526672703167,-3.418354611256306,-4.040482963349804,-3.2984395044292825,-3.194662553631071,-4.633484533324975,-6.099656841681231,25
-4.36626852733154,-5.0477216793791335,-3.85336081854048,-4.041367293768613,-4.29972787546867,-4.0931662190892535,-3.9707416983952935,-4.816652466774022,-4.391136758845049,-3.78461901749044,-3.3568052563220245,-3.9977191365635205,-3.238203122806898,-3.1368752373809428,-4.678574136790273,-6.2244883683363215,26
-4.380722888240437,-5.022892805241522,-3.8015874836126073,-4.003895326249136,-4.2607790937907914,-4.056068216046708,-3.9345489966061513,-4.8708760514246965,-4.411129225655663,-3.7398508591644766,-3.3087458602826465,-3.966974705880856,-3.192526507455068,-3.0937553663005555,-4.711031853708432,-6.333082755302125,27
-4.395924660518615,-5.003240264380712,-3.759486210589108,-3.974737763410166,-4.230499311596556,-4.0279974748413165,-3.908881855200174,-4.940566872834342,-4.420644031003616,-3.705439561520491,-3.2732657848738547,-3.947259041036173,-3.1604504749579823,-3.0642551469029544,-4.731797699550112,-6.42630571985925,28
-4.411633787366491,-4.988271437740748,-3.7264303696313315,-3.953303877345183,-4.208422071152804,-4.008203405277283,-3.892934473639085,-5.023801695959356,-4.420522298080773,-3.680602488353695,-3.249454391831332,-3.937581511763836,-3.1410158418998306,-3.0473267857011863,-4.741811689785974,-6.505022979288307,29
-4.427610211984487,-4.977493706265673,-3.701793330900629,-3.939002940147673,-4.1940809147263804,-3.9959354171588104,-3.885901051384611,-5.118657285756129,-4.411605150078994,-3.6645570034593042,-3.2364010428907637,-3.9369514877982086,-3.133263424864805,-3.0419224892082983,-4.742013839886682,-6.570100250869908,30
-4.443613877573023,-4.970414450899532,-3.684948464558349,-3.931244223911116,-4.187009384584129,-3.990442920290105,-3.886975787898474,-5.2232104071810586,-4.394733710190147,-3.6565204706325316,-3.233195099787833,-3.9443783388736553,-3.1362340404370967,-3.0469944639373368,-4.733344165322895,-6.622403251884665,31
-4.459404727332517,-4.966541052586368,-3.67526914076584,-3.9294370007289934,-4.186741022992889,-3.9909753244753676,-3.8953528826424,-5.335537825190538,-4.3707491016060915,-3.655710253668591,-3.238925924258224,-3.9588714347245393,-3.148968505200895,-3.0614949164013487,-4.716742681565274,-6.662797699613187,32
-4.474742704463389,-4.965380892270228,-3.672128729684454,-3.932990542694791,-4.192809372219506,-3.9967820395188074,-3.9102265350781122,-5.453716304740962,-4.340492447518694,-3.661343716362698,-3.2526828780376205,-3.9794401450852255,-3.170507635740392,-3.0843760531133815,-4.693149404084484,-6.69214931133609,33
-4.489387752166058,-4.966441350895152,-3.6749006014755388,-3.9413141219019883,-4.204747974530821,-4.007112475224624,-3.930790944667335,-5.575822610788724,-4.304804871119816,-3.672638222510065,-3.273555322861705,-4.005093839690076,-3.199892248639778,-3.114590080586481,-4.663504348351182,-6.711323804333979,34
-4.503099813640945,-4.969229809405186,-3.6829581263004436,-3.953817010444068,-4.2220903721936764,-4.021216041397024,-3.956240310871791,-5.69993350829022,-4.264527495601321,-3.688811135905906,-3.3006326204661627,-4.034841888273457,-3.2361631604832435,-3.1510892053336943,-4.628747529836031,-6.7211868958874685,35
-4.515638832088466,-4.9732536487443735,-3.6956746743205193,-3.969908480414513,-4.244370107474916,-4.038342147840211,-3.9857688331532075,-5.824125762201843,-4.220501444155072,-3.7090798203454343,-3.333004132586677,-4.067693660569729,-3.2783611878549794,-3.1928256338680683,-4.589818964009694,-6.72260430327717,36
-4.526764750709045,-4.97802024985676,-3.712423615697115,-3.9889978039068055,-4.271120722641383,-4.057740204358391,-4.018570710973306,-5.9464761374799915,-4.173567839972934,-3.732661639623865,-3.3697592209589318,-4.10265852631326,-3.3255271473391774,-3.2387515727026495,-4.54765866634283,-6.716441743783694,37
-4.5362375127030985,-4.983036993686388,-3.7325783205915792,-4.010494253014428,-4.301875759959917,-4.078659620755763,-4.053840143793812,-6.065061399081054,-4.124567806246769,-3.7587739575364116,-3.4099872473186106,-4.13874585523841,-3.376701855520027,-3.287819228350485,-4.503206652306101,-6.70356493468765,38
-4.543817061271046,-4.987811261177303,-3.755512159165263,-4.033807099830861,-4.336168761697364,-4.100349806836538,-4.09077133107645,-6.177958311961428,-4.07434246616844,-3.7866341378782877,-3.452777573401397,-4.174965017079545,-3.4309261289817194,-3.3389808073246208,-4.457402937370169,-6.684839593269652,39
-4.549263339613308,-4.991850433273545,-3.7805985015795147,-4.05834561644959,-4.373533270120563,-4.122060172404914,-4.1285584722829425,-6.283243641077508,-4.023732942929812,-3.8154595444447073,-3.497219560942975,-4.210325381571029,-3.4872407843084456,-3.391188516138105,-4.411187537005696,-6.661131436810312,40
-4.552336290930304,-4.994661890919163,-3.807210717995683,-4.083519074964095,-4.413502827496361,-4.143040127265099,-4.166395766875016,-6.3789941513856885,-3.9735803597227477,-3.8444675410308844,-3.5424025716790286,-4.243836318447226,-3.544686638084396,-3.443394561303983,-4.365500466683342,-6.633306182590237,41
-4.552795858422453,-4.995753015058201,-3.8347221785751207,-4.1087367474678596,-4.455610976091597,-4.162539081221297,-4.203477414314393,-6.463286607842364,-3.92472583973911,-3.872875491432034,-3.587415967345242,-4.274507197442498,-3.602304506893763,-3.494551149335303,-4.321281741873768,-6.602229547890041,42
-4.550401985290175,-4.994631186634698,-3.8625062534791734,-4.133407906054364,-4.499391258173114,-4.17980644407771,-4.238997614062798,-6.534197775403928,-3.878010506170761,-3.899900759443368,-3.6313491096772976,-4.3013473882912105,-3.6591352073207357,-3.5436104867451106,-4.279471378047637,-6.568767249990334,43
-4.544914614733888,-4.990803786592702,-3.8899363128691937,-4.156941822817093,-4.544377216007757,-4.194091625638544,-4.272150565581955,-6.589804419026776,-3.834275482209567,-3.9247607088600995,-3.67329136041088,-4.323366260727726,-3.714219555949505,-3.5895247800464527,-4.241009390675609,-6.533785006171728,44
-4.536093689954015,-4.9837781958762575,-3.916385726906529,-4.178747769849528,-4.590102391862368,-4.204644035708003,-4.30213046833359,-6.628183303667302,-3.79436189104739,-3.9466727034774465,-3.712332081281674,-4.33957318448641,-3.7665983693642624,-3.6312462357523767,-4.206835795228347,-6.4981485337148355,45
-4.523699154150971,-4.973061795429405,-3.94122786575253,-4.198235019245151,-4.636100328003787,-4.21071308409029,-4.328131521779425,-6.647411194281901,-3.7591108558760924,-3.964854107090619,-3.74756063402536,-4.348977529301624,-3.8153124641491973,-3.6677270603759284,-4.177890607176511,-6.4627235499002635,46
-4.507490950525177,-4.958161966196192,-3.9638360995685455,-4.214812843097442,-4.681904566698858,-4.211548180589611,-4.349347925381185,-6.645564855826966,-3.7293634998875387,-3.978522283494832,-3.7780663803776258,-4.350588664907735,-3.859402656888502,-3.697919460430155,-4.155113841990763,-6.428375772008627,47
-4.487229022277054,-4.938586089120661,-3.9835837985159266,-4.227890513499889,-4.727048650214426,-4.206398735010168,-4.364973878600593,-6.620721053258892,-3.705960946273591,-3.9868945964852998,-3.802938682074153,-4.343415961039105,-3.8979097641663674,-3.720775642428104,-4.139445515141765,-6.395970917320535,48
-4.46267331260702,-4.913841545146855,-3.99984433275602,-4.23687730254597,-4.77106612081733,-4.194514157156169,-4.374203580899375,-6.570956551534076,-3.689744318226116,-3.9891884098572366,-3.821266900850626,-4.326468787430098,-3.929874602566983,-3.7352478128828213,-4.131825642100177,-6.366374703116601,49
-4.433583764715496,-4.8834357152188215,-4.011991072450178,-4.241182482329168,-4.813490520774415,-4.175143856831815,-4.376231231739256,-6.4943481156089105,-3.681554738936973,-3.9846210874058556,-3.8321403984427285,-4.2987565138150785,-3.9543379886745407,-3.7402881783073543,-4.13319423833666,-6.340452846677436,50
-4.39051577898391,-4.837676784636547,-4.025527995607558,-4.243603910543099,-4.8703076796250935,-4.1431360559725094,-4.37370772589473,-6.370128186127612,-3.6762176566345905,-3.9733065737416386,-3.8415147479919107,-4.252964217637075,-3.9822763057279302,-3.7402542001342556,-4.141655590367725,-6.307852182649456,51
-4.327957171972337,-4.771209432914849,-4.045191117566086,-4.247121167583771,-4.952837713284105,-4.0966429729724965,-4.370042195507425,-6.189691938194925,-3.6684652524143417,-3.956871623236681,-3.8551315039064153,-4.186448400560997,-4.0228582407178894,-3.7402048449777223,-4.153946167405547,-6.260497933440931,52
-4.251566511149162,-4.690045782320012,-4.06920186448027,-4.251416109598261,-5.053615593581292,-4.039870012324241,-4.365566196089762,-5.9693602384580275,-3.6589987487685103,-3.936802814328618,-3.8717589998221182,-4.105225568654028,-4.072413065856383,-3.7401445771232695,-4.168954258964296,-6.202673397975246,53
-4.167002363982763,-4.600197955118319,-4.095781662504613,-4.256170592733643,-5.165176292346491,-3.9770225785202036,-4.360611283154158,-5.725453953564093,-3.6485193681893797,-3.914586725455082,-3.890165569374892,-4.015312227983349,-4.127270053355375,-3.74007786085641,-4.185568154558137,-6.138661875175782,54
-4.079923297941528,-4.507678073576057,-4.1231519377936205,-4.261066473136991,-5.280054781409538,-3.912306076052849,-4.355509012213035,-5.474293950160304,-3.6377283331692336,-3.8917099350537088,-3.9091195462006105,-3.9227248846161453,-4.183758475426826,-3.740009160462658,-4.202676143701236,-6.072746663965927,55
-3.995987880493841,-4.418498259959506,-4.149534116501798,-4.265785606955382,-5.390786032600274,-3.849925909414642,-4.350590938778811,-5.232201094893833,-3.627326866200357,-3.8696590215621334,-3.927389263935148,-3.8334800446195985,-4.238207604282702,-3.739942940227527,-4.219166515907763,-6.009211063269061,56
-3.920854679108082,-4.338670636534955,-4.173149624783648,-4.270009850335888,-5.4899050177485345,-3.794087483098044,-4.346188618363907,-5.015496254411863,-3.618016189775033,-3.8499205634179883,-3.9437430562143785,-3.753594214060892,-4.286946712134965,-3.739883664436531,-4.233927560691882,-5.952338372008572,57
-3.8601822612526364,-4.2742073255686845,-4.192219888793679,-4.273421059425585,-5.56994670868416,-3.748996201595519,-4.3426336064807405,-4.840500295361569,-3.6104975263855446,-3.8339811390589085,-3.956949256674175,-3.689083899007208,-4.326305071195579,-3.7398357973751826,-4.245847567567759,-5.906411889107841,58
