C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,time
-0.6352104814492525,-3.533821334847112,-4.31137479514573,-4.0996750485686375,-3.3470366773431874,-2.768977830948042,-4.460972182767827,-4.260818303249398,-4.595114607962853,-3.123580610717267,-3.372311984441618,-3.706166282135429,-4.05332033144453,-3.8030880645539216,-3.8899507032024876,-3.983326694327757,-4.381857526141896,-5.1455972083037365,89
-0.6207447216587801,-3.5238827678644586,-4.308694992555307,-4.087912090593541,-3.339037381833144,-2.7646150787157486,-4.459043292195406,-4.258103113395422,-4.590596389630861,-3.120690689470109,-3.368497708718768,-3.706798945066097,-4.054559818124759,-3.80665302028132,-3.89293236389105,-3.9840357355269465,-4.390862437813446,-5.153451551434406,90
-0.6126731380811413,-3.5170374834047102,-4.304103375249014,-4.076698461135549,-3.331749975584171,-2.766607315214456,-4.445102891238894,-4.247795544555954,-4.572542461893569,-3.121120448921029,-3.369479641583924,-3.710013349771164,-4.061233966633858,-3.81205123349058,-3.8988400665760254,-3.990186832075796,-4.395659340538031,-5.165115534909291,91
-0.5907645540846924,-3.4984574255853933,-4.2916404139890725,-4.046261466892426,-3.3119698729083873,-2.772014814282376,-4.407264660071217,-4.219817857705968,-4.52353894374949,-3.122286938859241,-3.3721448879322033,-3.718738162542061,-4.079349512587126,-3.826703526487143,-3.914875259578102,-4.00688266556553,-4.408679505076191,-5.196774918626836,92
-0.5584782197741367,-3.4710762877463996,-4.273273944763896,-4.001406949060457,-3.282820247912495,-2.7799837602772057,-4.351503056245167,-4.178587582348095,-4.4513232328003225,-3.1240059766629207,-3.3760726193928248,-3.7315957813623286,-4.106046106623521,-3.8482963793241822,-3.9385060703180033,-4.0314870517609265,-4.4278671159745295,-5.243430852526376,93
-0.5192733852541763,-3.4378277632276224,-4.250971803561897,-3.946940748835924,-3.247424274703198,-2.7896603375566422,-4.283792537313536,-4.128522247984965,-4.363632726647763,-3.1260933797102473,-3.3808420075950094,-3.7472086042155124,-4.138463399382001,-3.874516272054874,-3.967200626216456,-4.061363806426767,-4.451166357779656,-5.300084486547246,94
-0.47660930062951357,-3.4016455453689525,-4.226701826371485,-3.8876687074151084,-3.2089051273871982,-2.800190730478381,-4.210107560829114,-4.074039384119205,-4.268204822893506,-3.128364965379396,-3.386032224167974,-3.7641990290851526,-4.173741041501523,-3.9030496847323906,-3.9984270546941834,-4.093876745327828,-4.476521415038176,-5.36173697062878,95
-0.4339452160048508,-3.365463327510283,-4.202431849181075,-3.8283966659942927,-3.1703859800711984,-2.8107211234001204,-4.136422584344691,-4.0195565202534445,-4.17277691913925,-3.130636551048545,-3.391222440740939,-3.7811894539547932,-4.209018683621045,-3.9315830974099075,-4.029653483171911,-4.126389684228888,-4.501876472296697,-5.423389454710315,96
-0.3947403814848897,-3.332214802991505,-4.180129707979075,-3.7739304657697583,-3.1349900068619005,-2.8203977006795564,-4.068712065413059,-3.9694911858903126,-4.085086412986689,-3.132723954095871,-3.395991828943123,-3.796802276807976,-4.241435976379525,-3.957802990140599,-4.0583480390703635,-4.156266438894728,-4.525175714101824,-5.480043088731185,97
-0.36245404717433416,-3.304833665152511,-4.161763238753899,-3.729075947937789,-3.1058403818660087,-2.828366646674386,-4.0129504615870095,-3.92826091053244,-4.012870702037522,-3.1344429918995513,-3.399919560403745,-3.8096598956282444,-4.268132570415919,-3.9793958429776386,-4.081978849810265,-4.180870825090125,-4.544363325000163,-5.526699022630725,98
