C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,time
-4.4046285178067075,-3.575962148098007,-4.686007055013438,-3.325216044869669,-3.3379166849118134,-5.4558197271621385,-3.3672154643264394,-3.609781049221052,-4.149871035103284,-4.2250414088623955,-3.692483370840807,-3.6147287036641025,-3.635672760350431,-3.672100751797625,-3.72674516924067,-4.181074137174392,-1.7884473546980444,33
-4.4812838960293435,-3.8302459069423493,-4.6190157941812355,-3.62068574392861,-3.3790915966779638,-5.29338199957725,-3.536736060494025,-3.7283357208421255,-4.457020014369632,-4.52828344176246,-3.9081047099039226,-3.8592359825765747,-3.730379698639775,-3.7912724128160273,-3.840937950081345,-4.4938707793791774,-2.1776353017572165,34
-4.5608048066641915,-4.10696646803766,-4.546113539746192,-3.9419965254357243,-3.4238995888940678,-5.114981319727928,-3.7198068357636234,-3.8568610653841455,-4.784809539499076,-4.852966561740396,-4.13929918015381,-4.12267085593307,-3.8311608738574,-3.9210557608943413,-3.963817545677763,-4.828758447707949,-2.601163361792195,35
-4.6342909601813425,-4.3836870291329735,-4.473211285311148,-4.26172432335325,-3.468707581110172,-4.929888212302649,-3.900468265235811,-3.9838767965255313,-5.106847723246962,-5.173113824278452,-4.366921401046452,-4.38313043980871,-3.929190167824097,-4.049801471447796,-4.084277087987499,-5.158923364396781,-3.0246914218271743,36
-4.692842067050892,-4.637970787977315,-4.406220024478946,-4.552445071643419,-3.509882492876323,-4.747373201989898,-4.06276082401116,-4.0979026279446975,-5.396742678368628,-5.462748284858865,-4.571825992037825,-4.618711850278612,-4.015641462360656,-4.165860219891617,-4.191209708968129,-5.4575517516817484,-3.413879368886345,37
-4.7275578377429275,-4.847380942319712,-4.351050750852426,-4.7867347042684605,-3.5437912437425636,-4.576706813478156,-4.190724987190244,-4.187458273320061,-5.628102517619411,-5.695892998963874,-4.734867572583908,-4.807512203417893,-4.081688639287866,-4.257582681641032,-4.273508540577224,-5.697829831798923,-3.734387089993896,38
-4.729537982727545,-4.989480689909198,-4.313614458034431,-4.937169155190616,-3.5668007532589416,-4.427159571455902,-4.2684012298736365,-4.241063446330038,-5.774535353754653,-5.846571022075723,-4.836900762140682,-4.927628615301676,-4.11850558042652,-4.31331953211127,-4.320066714772363,-5.8529438269843785,-3.9518744721740218,39
-4.689882212474836,-5.041833228494797,-4.299822139627801,-4.976324358372112,-3.5752779409755022,-4.308002000611621,-4.2798300271619105,-4.247237860653043,-5.809649299529694,-5.88880540967665,-4.858780180164125,-4.957158202005072,-4.117266167597404,-4.3214214467175545,-4.319777363511116,-5.896079959474189,-4.032001402450909,40
-4.59906133022717,-4.974528675775362,-4.2614608936176035,-4.893963596798256,-3.556357220321904,-4.212861875876466,-4.217491189489346,-4.200654100560256,-5.720553927689398,-5.810995726289546,-4.791421772234672,-4.886662333113415,-4.072494615552474,-4.27691365648552,-4.266479821406986,-5.815244300064362,-4.025802243571016,41
-4.46101126766873,-4.791844889822608,-4.157337511589924,-4.71283957764819,-3.5050009785478524,-4.128585194757466,-4.093757452178091,-4.110257972758045,-5.5274572543087075,-5.633636339112214,-4.649633310164885,-4.733611426911023,-3.9903018328212507,-4.189113181924722,-4.168269730104064,-5.631580435396747,-4.008975955182732,42
-4.287029427932331,-4.522626678944865,-4.003892527549133,-4.455012371174922,-3.4293180959334593,-4.05426981580692,-3.9225086776605314,-3.9859790245776154,-5.25361505713808,-5.378892507639257,-4.450107152758926,-4.5164661725215,-3.879241741890886,-4.067808382676283,-4.035424682105807,-5.36798086147619,-3.9841793196631583,43
-4.088413214150789,-4.195718851450467,-3.8175664754996044,-4.142542047631453,-3.3374174527588414,-3.9890135975771246,-3.7176247283690573,-3.837746803350178,-4.922283113927977,-5.068929491365286,-4.209535658820967,-4.253687259068452,-3.7478682652485285,-3.922787618381324,-3.878222269915675,-5.047338074307537,-3.95406911938939,44
-3.876460029456911,-3.839966215647738,-3.6147998894457034,-3.797488677270784,-3.2374079293041085,-3.931914398620373,-3.4929854667360507,-3.675490856406936,-4.556717202428849,-4.725912549784901,-3.9446111871551692,-3.963735375675481,-3.604735325381324,-3.763839248680963,-3.706940086037123,-4.69254456989563,-3.9213021367385243,45
-3.6624672769835125,-3.48421357984501,-3.4120333033918038,-3.4419123303459163,-3.1373984058493765,-3.882070077488963,-3.2624707551938963,-3.509140731079096,-4.180173100391155,-4.372006942392712,-3.6720260965656983,-3.6650712114661905,-3.4583968447764226,-3.6007516332163214,-3.531855722973609,-4.326492844245313,-3.8885351540876583,46
-3.457732359863404,-3.157305752350608,-3.2257072513422727,-3.0978730771098504,-3.0454977626747572,-3.8385784927351896,-3.0399604561749776,-3.348625974697863,-3.8159065855653473,-4.029377928683317,-3.408472745856718,-3.3761554555641813,-3.3174067459209704,-3.443313131628517,-3.36324677322859,-3.9720753933614263,-3.8584249538138895,47
-3.2735526812294005,-2.8880875414728653,-3.0722622673014817,-2.7874309878155907,-2.9698148800603645,-3.8005375029113475,-2.8393344321116825,-3.2038761345944446,-3.487173435701887,-3.720190768151326,-3.1706434938323955,-3.1154487970930607,-3.1903189513021175,-3.3013121035586717,-3.211390829305523,-3.6521847132488165,-3.833628318294315,48
-3.121225644214315,-2.705403755520114,-2.9681388852738038,-2.5326461327161414,-2.9184586382863134,-3.767044966569736,-2.674472545436397,-3.084820758100048,-3.217229428551232,-3.4666107202913476,-2.9752306992968993,-2.9014119251764328,-3.0856873834070138,-3.1845369086479067,-3.0865654837078678,-3.38971329991233,-3.816802029906033,49
-3.01204865195096,-2.638099202800679,-2.9297776392636066,-2.355578582064501,-2.899537917632715,-3.737198742262649,-2.559254658581505,-3.001389392545879,-3.0293303418638367,-3.2908030445979835,-2.838926721054392,-2.7525055289379,-3.0120659647228054,-3.1027759065373415,-2.9990483289390815,-3.2075536493568073,-3.810602871026139,50
-2.9449560688563667,-2.638379653532114,-2.930373457444296,-2.2495440592358213,-2.8997836174698515,-3.714608403386214,-2.4897645567995412,-2.950667259704881,-2.9164366734824094,-3.185636511341696,-2.7566251340484365,-2.66314953878879,-2.967329762905691,-3.0531463561927366,-2.9462360951573294,-3.0985212643999622,-3.810030748414557,51
-2.907640049691155,-2.639140876946007,-2.9319906782204535,-2.1879519673242935,-2.9004505170277928,-3.702214822587751,-2.4494326338194403,-2.920737729996327,-2.850520486022796,-3.124163131196855,-2.708178441154471,-2.611099497718324,-2.9414275255557727,-3.0238958433376135,-2.9160242772617115,-3.034884391491055,-3.8084778441831197,52
-2.8945346831035192,-2.640262679871745,-2.9343739509432116,-2.163002896161485,-2.9014333163763375,-3.6981128072963436,-2.433158664788188,-2.908027573720919,-2.82335490439516,-3.0988230242639276,-2.687717393074472,-2.5898195137169515,-2.931023695076061,-3.0115082177497303,-2.904438614867085,-3.0087146420822553,-3.806189353736791,53
-2.9000740577416533,-2.641624869138713,-2.937267924963704,-2.1668974355789605,-2.902626715585286,-3.7003971649410765,-2.4358424248527695,-2.9089635611793567,-2.8267130535096654,-3.1020563106433814,-2.6893727405104184,-2.592773694775116,-2.9327827138695626,-3.012467329206847,-2.907504847588307,-3.0120836276257297,-3.8034104724805355,54
-2.918692262253749,-2.6431072515762954,-2.940417249633063,-2.191836175408284,-2.9039254147244344,-3.7071627029510323,-2.452383689160168,-2.919972462672341,-2.8523680582764723,-3.1263031104356807,-2.707275234164285,-2.613426148883265,-2.9433690243392863,-3.023257027486722,-2.921248715040234,-3.037062959573644,-3.8003863958193156,55
-2.9448233852880015,-2.6445896340138786,-2.943566574302422,-2.2300197054810207,-2.905224113863584,-3.7165042287552956,-2.477682232857369,-2.937481048500571,-2.8920930436057453,-3.1640035437412934,-2.73555562473805,-2.6452409840318425,-2.9594470688882395,-3.0403611623671143,-2.9416959568377234,-3.0757242493781645,-3.797362319158096,56
-2.9729015154926044,-2.645951823280846,-2.9464605483229143,-2.273648615628737,-2.9064175130725314,-3.72651654978295,-2.5066378310913575,-2.957916088964749,-2.9376611344076466,-3.2075977306606855,-2.7683446629336896,-2.6816823082112977,-2.977681289919431,-3.0602635836257828,-2.964872312595632,-3.12013910849146,-3.7945834379018404,57
-2.9973607415157493,-2.647073626206584,-2.948843821045673,-2.3149234956829967,-2.9074003124210765,-3.735294473463079,-2.534150259009118,-2.977704354365574,-2.9808454555923376,-3.2495257912943227,-2.7997730994531818,-2.7162142294120737,-2.994736129835869,-3.0794481410404866,-2.986803521928816,-3.1623791483656962,-3.792294947455512,58
-3.012635152005632,-2.6478348496204775,-2.9504610418218302,-2.346044935475365,-2.908067211979018,-3.740932807224767,-2.555119291757635,-2.9932726150037476,-3.0134191320699824,-3.2822278457426717,-2.823971684998503,-2.742300855624618,-3.007276031040561,-3.0943986843889846,-3.0035153244521333,-3.1945159804530396,-3.790742043224075,59
-3.0131588356104446,-2.6481153003519124,-2.9510568600025198,-2.3592135248374078,-2.908312911816154,-3.7415263584970972,-2.5644447044838934,-3.00104764117997,-3.0271552887507434,-3.298144014106199,-2.8350711702716307,-2.7534062948393765,-3.0119654359365158,-3.1015990634490356,-3.0110334597804402,-3.208621216205658,-3.7901699206124926,60
-3.0023647882407283,-2.647770109100525,-2.9520270898477423,-2.360629477767749,-2.9025343291367816,-3.741874072468817,-2.566024179976457,-3.004011865349439,-3.0284921009618224,-3.3034233674666114,-2.837785127303846,-2.7546251005551836,-3.0109120267747946,-3.103787672864639,-3.0121512361868836,-3.211100480606117,-3.8139648022125296,61
-2.9879322860634705,-2.6468331614181864,-2.9546605708562033,-2.361825634810668,-2.886849604721342,-3.746617785059069,-2.5673122196320985,-3.007527765971724,-3.0295379069411252,-3.3093219318762253,-2.8408188361252913,-2.7555655423553738,-3.008745834906571,-3.1061322210018227,-3.0125419468152113,-3.2137344867684083,-3.878550909412629,62
-2.9706648381115377,-2.6454523964126357,-2.958541490237094,-2.3630015256162133,-2.863735274003852,-3.753616639792531,-2.5685438265101177,-3.0115921823540814,-3.030571075964873,-3.3159402598914216,-2.844290609436237,-2.7564623023571424,-3.0059148263850233,-3.1087605282213877,-3.012551308586183,-3.216657478341842,-3.973730435812776,63
-2.951365953417795,-2.6437757531916097,-2.9632540351996033,-2.3643566798344318,-2.835667872418328,-3.76072978019388,-2.5699540036698143,-3.0162019538037677,-3.0318699773092836,-3.323378904068581,-2.848318759936953,-2.7575500626776854,-3.002866967263326,-3.1118004148841343,-3.0125250384205584,-3.220003698975724,-4.089305575012955,64
-2.930839141015108,-2.641951170862846,-2.9683823929529223,-2.3660906271153697,-2.805123935398788,-3.765816349787795,-2.5717777541704874,-3.0213539196280386,-3.0337129802505767,-3.331738416964084,-2.853021600327708,-2.7590635054341996,-3.0000502235946565,-3.1153797013508635,-3.0128088532390973,-3.2239073923193633,-4.215078520613149,65
-2.909887909936343,-2.6401265885340823,-2.9735107507062417,-2.368402897109076,-2.774579998379248,-3.7667354920989533,-2.5742500810714364,-3.0270449191341515,-3.036378454064972,-3.3411193511343122,-2.8585174433087728,-2.7612373127438805,-2.997912561432192,-3.1196262079823773,-3.013748469962559,-3.228502802022068,-4.340851466213344,66
-2.889315769214366,-2.6384499453130563,-2.978223295668751,-2.371493019465598,-2.746512596793724,-3.761346350652032,-2.5776059874319603,-3.033271791629362,-3.040144768028689,-3.3516222591356466,-2.8649246015804164,-2.7643061667239235,-2.9969019468291087,-3.124667755139475,-3.0156896055117044,-3.233924171733147,-4.456426605413522,67
