C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,time
-4.794814259790694,-3.684948464558349,-3.9312442239111167,-3.990442920290103,-3.947760645739394,-5.223210407181054,-4.394733710190147,-3.7009712125296543,-3.0509292735865223,-3.9443783388736526,-4.9050768095557835,31
-4.797495610835083,-3.67526914076584,-3.9294370007289943,-3.9909753244753663,-3.9549260354838154,-5.335537825190533,-4.3707491016060915,-3.7002956473459734,-3.065177352174392,-3.958871434724536,-4.893656774115085,32
-4.801834829667947,-3.672128729684454,-3.932990542694792,-3.9967820395188065,-3.9686211342783615,-5.453716304740959,-4.340492447518694,-3.7060962638076966,-3.0877921540949043,-3.9794401450852224,-4.874876668380085,33
-4.807423484652119,-3.6749006014755388,-3.9413141219019883,-4.007112475224623,-3.9881099408801073,-5.575822610788721,-4.304804871119816,-3.7176043768869462,-3.117731924353236,-4.0050938396900735,-4.849669753440527,34
-4.813853144150437,-3.6829581263004436,-3.953817010444068,-4.0212160413970235,-4.012656454046135,-5.699933508290217,-4.264527495601321,-3.7340513015558505,-3.153954907954564,-4.034841888273453,-4.818969290386162,35
-4.820715376525736,-3.6956746743205193,-3.9699084804145137,-4.0383421478402095,-4.041524672533523,-5.824125762201842,-4.220501444155072,-3.7546683527865357,-3.195419349904067,-4.067693660569726,-4.783708540306736,36
-4.827601750140853,-3.712423615697115,-3.9889978039068064,-4.057740204358389,-4.0739785950993515,-5.946476137479988,-4.173567839972934,-3.7786868455511304,-3.2410834952069227,-4.102658526313258,-4.744820764291998,37
-4.834103833358623,-3.7325783205915792,-4.010494253014428,-4.078659620755763,-4.109282220500699,-6.065061399081052,-4.124567806246769,-3.8053380948217583,-3.289905588868307,-4.138745855238408,-4.703239223431696,38
-4.839813194541881,-3.755512159165263,-4.033807099830861,-4.100349806836537,-4.146699547494645,-6.177958311961427,-4.07434246616844,-3.8338534155705473,-3.340843875893399,-4.1749650170795425,-4.6598971788155765,39
-4.844321402053464,-3.7805985015795147,-4.058345616449591,-4.122060172404913,-4.185494574838269,-6.283243641077505,-4.023732942929812,-3.8634641227696243,-3.392856601287375,-4.210325381571027,-4.615727891533387,40
-4.847220024256208,-3.807210717995683,-4.083519074964095,-4.143040127265098,-4.224931301288649,-6.378994151385687,-3.9735803597227477,-3.8934015313911154,-3.4449020100554137,-4.243836318447222,-4.571664622674876,41
-4.848100629512949,-3.8347221785751207,-4.1087367474678596,-4.162539081221296,-4.264273725602867,-6.463286607842363,-3.92472583973911,-3.922896956407148,-3.495938347202693,-4.274507197442496,-4.528640633329792,42
-4.8465547861865215,-3.8625062534791734,-4.133407906054364,-4.17980644407771,-4.302785846538,-6.534197775403927,-3.878010506170761,-3.9511817127898468,-3.5449238577343887,-4.301347388291207,-4.487589184587881,43
-4.842174062639762,-3.8899363128691937,-4.156941822817093,-4.194091625638543,-4.339731662851127,-6.589804419026775,-3.834275482209567,-3.97748711551134,-3.5908167866556795,-4.323366260727724,-4.449443537538892,44
-4.834550027235507,-3.916385726906529,-4.178747769849528,-4.204644035708003,-4.374375173299329,-6.628183303667302,-3.79436189104739,-4.001044479543754,-3.6325753789717425,-4.339573184486408,-4.415136953272573,45
-4.823274248336591,-3.94122786575253,-4.198235019245151,-4.21071308409029,-4.405980376639686,-6.6474111942819,-3.7591108558760924,-4.021085119859215,-3.6691578796877558,-4.348977529301623,-4.38560269287867,46
-4.807938294305851,-3.9638360995685455,-4.214812843097442,-4.211548180589611,-4.433811271629274,-6.645564855826965,-3.7293634998875387,-4.036840351429849,-3.699522533808896,-4.350588664907733,-4.361774017446932,47
-4.788133733506122,-3.9835837985159266,-4.227890513499889,-4.206398735010168,-4.457131857025175,-6.620721053258892,-3.705960946273591,-4.047541489227784,-3.722627586340342,-4.343415961039104,-4.344584188067106,48
-4.76345213430024,-3.99984433275602,-4.23687730254597,-4.194514157156169,-4.475206131584466,-6.570956551534076,-3.689744318226116,-4.052419848225147,-3.73743128228727,-4.326468787430096,-4.33496646582894,49
-4.733485065051044,-4.011991072450178,-4.241182482329168,-4.175143856831815,-4.48729809406423,-6.4943481156089105,-3.681554738936973,-4.050706743394062,-3.742891866654859,-4.298756513815077,-4.333854111822184,50
-4.688623116085665,-4.025527995607558,-4.243603910543099,-4.1431360559725094,-4.499430091652762,-6.370128186127613,-3.6762176566345905,-4.0434936042235945,-3.743497101025636,-4.252964217637073,-4.338582553302427,51
-4.623458679267342,-4.045191117566086,-4.247121167583771,-4.0966429729724965,-4.517052482310555,-6.189691938194926,-3.6684652524143417,-4.033016124698609,-3.7443762370824527,-4.186448400560995,-4.345450873408762,52
-4.54388602526306,-4.06920186448027,-4.251416109598261,-4.039870012324241,-4.538571280952986,-5.969360238458028,-3.6589987487685103,-4.020222016534934,-3.745449754980976,-4.105225568654026,-4.353837817056199,53
-4.455799424739799,-4.095781662504613,-4.2561705927336435,-3.9770225785202036,-4.562392502495431,-5.725453953564093,-3.6485193681893797,-4.006058991448395,-3.7466381348768705,-4.0153122279833475,-4.36312212915974,54
-4.365093148364546,-4.1231519377936205,-4.261066473136991,-3.912306076052849,-4.5869221618532645,-5.474293950160303,-3.6377283331692336,-3.991474761154822,-3.7478618569258018,-3.922724884616144,-4.372682554634389,55
-4.277661466804284,-4.149534116501798,-4.265785606955382,-3.8499259094146416,-4.610566273941863,-5.232201094893832,-3.627326866200357,-3.977417037370042,-3.7490414012834354,-3.833480044619597,-4.381897838395153,56
-4.199398650725997,-4.173149624783648,-4.270009850335889,-3.794087483098044,-4.6317308536766,-5.015496254411862,-3.618016189775033,-3.964833531809884,-3.750097248105437,-3.753594214060891,-4.3901467253570345,57
-4.136198970796668,-4.192219888793679,-4.273421059425586,-3.7489962015955185,-4.648821915972853,-4.840500295361567,-3.6104975263855446,-3.954671956190174,-3.7509498775474706,-3.6890838990072066,-4.39680796043504,58
-4.093956697683284,-4.204966334686394,-4.275701090371551,-3.7188574693995307,-4.660245475745995,-4.723534084390127,-3.6054720985241775,-3.947880022226741,-3.7515197697652036,-3.6459656055257295,-4.401260288544171,59
-4.078566102052826,-4.209610388616297,-4.276531799320854,-3.707876691002543,-4.664407547911403,-4.680918488144719,-3.603641128683214,-3.9454054416354127,-3.7517274049142997,-3.630255839683641,-4.402882454599437,60
-4.067106866712821,-4.219169496677442,-4.2699691683633185,-3.6926237477347836,-4.659012865959159,-4.6894903270369,-3.5980048769587554,-3.9411764844049384,-3.7522623700488116,-3.631689762078234,-4.399413859619792,61
-4.036003227932809,-4.245115647129122,-4.252156312907151,-3.6512229017222944,-4.644370157803068,-4.712756746887104,-3.5827064794209385,-3.9296978862079364,-3.753714418271057,-3.635581837149271,-4.3899991018178985,62
-3.99016628657279,-4.283352079373703,-4.225905789077009,-3.5902111286512572,-4.622791429994091,-4.747044102455827,-3.5601614725231037,-3.912782057286038,-3.755854278809103,-3.6413175267276423,-4.376124721899319,63
-3.934507143492768,-4.329782032813552,-4.194030152997552,-3.5161254042078562,-4.596588689083193,-4.788678748503562,-3.5327853927185906,-3.8922414078808774,-3.7584526808910175,-3.6482822926442364,-4.359277260569616,64
-3.873936899552744,-4.380308746851034,-4.159341960793435,-3.4355027040782717,-4.568073941621332,-4.833987039790803,-3.5029937764607375,-3.869888348234084,-3.7612803537448642,-3.655861596729941,-4.340943258534351,65
-3.813366655612719,-4.430835460888516,-4.12465376858932,-3.3548800039486877,-4.53955919415947,-4.879295331078045,-3.4732021602028844,-3.8475352885872907,-3.7641080265987115,-3.663440900815646,-4.322609256499085,66
-3.757707512532697,-4.477265414328365,-4.092778132509863,-3.2807942795052862,-4.513356453248571,-4.9209299771257795,-3.445826080398371,-3.8269946391821295,-3.7667064286806253,-3.67040566673224,-4.305761795169382,67
-3.7118705711726783,-4.5155018465729455,-4.066527608679721,-3.219782506434249,-4.4917777254395945,-4.955217332694502,-3.4232810735005357,-3.8100788102602317,-3.7688462892186716,-3.676141356310611,-4.291887415250802,68
-3.680766932392666,-4.541447997024625,-4.048714753223552,-3.1783816604217603,-4.477135017283504,-4.978483752544707,-3.407982675962719,-3.7986002120632296,-3.770298337440917,-3.6800334313816485,-4.282472657448909,69
-3.6693076970526612,-4.5510071050857706,-4.0421521222660175,-3.163128717154001,-4.47174033533126,-4.987055591436888,-3.4023464242382606,-3.7943712548327553,-3.770833302575429,-3.6814673537762412,-4.279004062469264,70
-3.6596214075572657,-4.546902168525341,-4.03046420504394,-3.1563330875100233,-4.469475883911458,-4.979563702729845,-3.39734998491191,-3.7907281305318365,-3.7713950438064856,-3.6814075967109847,-4.2751769183730115,71
-3.6333300503554784,-4.535760197861316,-3.9987398582983027,-3.137887807047797,-4.463329515771993,-4.9592285762392985,-3.3837882210261014,-3.7808396502864854,-3.772919770005067,-3.6812453989624307,-4.26478895582604,72
-3.5945848923738963,-4.519340451619595,-3.951988189409994,-3.1107052884718853,-4.454271710092783,-4.929261021411126,-3.3638024637206994,-3.7662671530828096,-3.775166734929293,-3.681006370701404,-4.249480379441029,73
-3.5475372005391197,-4.499402188326078,-3.895218305759906,-3.07769794448685,-4.443272946053742,-4.892871847691203,-3.3395340441355685,-3.7485719779069187,-3.777895192337282,-3.680716122098729,-4.230891393830659,74
-3.496338241777744,-4.477704666506661,-3.833439314728927,-3.0417781877972523,-4.431303702834786,-4.853271864525404,-3.3131242934105734,-3.729315463744919,-3.7808643959871517,-3.680400263325229,-4.21066220360761,75
-3.4451392830163687,-4.456007144687245,-3.7716603236979482,-3.005858431107655,-4.41933445961583,-4.813671881359604,-3.2867145426855777,-3.7100589495829195,-3.783833599637022,-3.6800844045517294,-4.190433013384561,76
-3.398091591181592,-4.4360688813937275,-3.7148904400478604,-2.9728510871226193,-4.408335695576789,-4.777282707639681,-3.262446123100447,-3.692363774407028,-3.7865620570450105,-3.6797941559490543,-4.171844027774191,77
-3.35934643320001,-4.419649135152007,-3.6681387711595517,-2.9456685685467074,-4.399277889897579,-4.747315152811508,-3.242460365795045,-3.6777912772033527,-3.7888090219692363,-3.6795551276880274,-4.15653545138918,78
-3.3330550759982227,-4.408507164487982,-3.636414424413914,-2.9272232880844817,-4.393131521758114,-4.7269800263209625,-3.228898601909236,-3.6679027969580016,-3.7903337481678183,-3.6793929299394734,-4.1461474888422085,79
-3.3233687865028276,-4.404402227927552,-3.624726507191837,-2.920427658440504,-4.390867070338312,-4.7194881376139195,-3.2239021625828856,-3.664259672657083,-3.7908954893988747,-3.679333172874217,-4.142320344745956,80
-3.3145191973981514,-4.4017224253371285,-3.616727211681793,-2.9160649062082107,-4.388216753722705,-4.714743290349496,-3.221012241335728,-3.6605827802190567,-3.7938181303692446,-3.682898128601616,-4.151220659277427,81
-3.290498884114031,-4.394448675448838,-3.595014838154533,-2.9042231501491296,-4.3810230371946295,-4.701864419203203,-3.213168169379157,-3.6506026436015575,-3.8017510130031056,-3.6925744370045557,-4.175378655862846,82
-3.2551005276953258,-4.383729465087146,-3.5630176561143587,-2.8867721412199567,-4.370421770732201,-4.682885030145508,-3.2016084843905257,-3.6358950738494524,-3.813441576884585,-3.706834259914151,-4.210979913988727,83
-3.2121168091868997,-4.3707132810765215,-3.524163935065577,-2.8655816303773904,-4.357548804313539,-4.659838629146879,-3.1875717240471886,-3.6180358820076117,-3.8276372615978107,-3.7241497591615174,-4.254210013141584,84
-3.165340409633612,-4.356548610241429,-3.4818819445124904,-2.8425213685781268,-4.34353998791676,-4.634758722177782,-3.1722964260264974,-3.598600879120902,-3.8430855067269083,-3.7429930965777682,-4.301254532807928,85
-3.1185640100803234,-4.3423839394063375,-3.4395999539594033,-2.8194611067788626,-4.32953117151998,-4.609678815208685,-3.1570211280058063,-3.5791658762341925,-3.8585337518560068,-3.76183643399402,-4.348299052474271,86
-3.0755802915718973,-4.329367755395712,-3.4007462329106217,-2.798270595936296,-4.316658205101318,-4.586632414210056,-3.1429843676624687,-3.5613066843923513,-3.872729436569231,-3.779151933241385,-4.391529151627126,87
-3.0401819351531922,-4.318648545034021,-3.3687490508704476,-2.7808195870071235,-4.306056938638889,-4.567653025152361,-3.1314246826738374,-3.5465991146402467,-3.884420000450711,-3.7934117561509813,-4.427130409753008,88
-3.016161621869072,-4.31137479514573,-3.3470366773431874,-2.7689778309480424,-4.298863222110813,-4.5547741540060684,-3.123580610717267,-3.5366189780227475,-3.892352883084572,-3.8030880645539216,-4.451288406338429,89
-3.007312032764396,-4.308694992555307,-3.339037381833144,-2.764615078715749,-4.2962129054952065,-4.550029306741645,-3.120690689470109,-3.5329420855847213,-3.895275524054942,-3.80665302028132,-4.4601887208698985,90
-3.0022541701612657,-4.304103375249014,-3.331749975584171,-2.7666073152144564,-4.285445250472168,-4.534070071348427,-3.121120448921029,-3.534183339311275,-3.9010785192309374,-3.81205123349058,-4.465609903662692,91
-2.9885256859527694,-4.2916404139890725,-3.3119698729083873,-2.7720148142823766,-4.256218758266777,-4.490752146709695,-3.122286938859241,-3.5375524565690637,-3.9168295061372107,-3.826703526487143,-4.480324542671704,92
-2.9682942355402484,-4.273273944763896,-3.282820247912495,-2.779983760277206,-4.213148138174621,-4.426915205136825,-3.1240059766629207,-3.5425174714752776,-3.9400414868411913,-3.8482963793241822,-4.50200927384288,93
-2.943727474325045,-4.250971803561897,-3.247424274703198,-2.7896603375566422,-4.16084809949129,-4.3493989189411995,-3.1260933797102473,-3.5485464181471102,-3.9682274634103116,-3.874516272054874,-4.528340733122165,94
-2.9169930577084995,-4.226701826371485,-3.2089051273871982,-2.8001907304783815,-4.103933351512372,-4.265042960434194,-3.128364965379396,-3.555107330701751,-3.998900437912001,-3.9030496847323906,-4.5569955564555045,95
-2.8902586410919544,-4.202431849181075,-3.1703859800711984,-2.8107211234001204,-4.047018603533453,-4.180687001927189,-3.130636551048545,-3.5616682432563915,-4.02957341241369,-3.9315830974099075,-4.585650379788843,96
-2.86569187987675,-4.180129707979075,-3.1349900068619005,-2.820397700679557,-3.994718564850121,-4.103170715731561,-3.132723954095871,-3.5676971899282237,-4.05775938898281,-3.957802990140599,-4.611981839068129,97
-2.8454604294642296,-4.161763238753899,-3.1058403818660087,-2.828366646674386,-3.9516479447579664,-4.039333774158692,-3.1344429918995513,-3.572662204834438,-4.080971369686791,-3.9793958429776386,-4.633666570239304,98
-2.8317319452557332,-4.149300277493959,-3.086060279190225,-2.8337741457423062,-3.922421452552576,-3.996015849519959,-3.1356094818377627,-3.576031322092226,-4.096722356593064,-3.9940481359742015,-4.648381209248315,99
