C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,time
-2.5525744368598966,-2.977303895211413,-2.7894795582627996,-2.8543977402804077,-3.084900828418214,-3.2470388381863056,-3.048606886465666,-3.4315236160698523,-3.179592146850236,-3.5358902328833177,-3.6794219715377725,-3.6773966998924066,-3.6245252821256937,-3.3719512239308767,-3.2248202129214105,-3.249207029079493,-3.4976716163271604,-3.7700565547617746,-3.6277613181382327,-5.943865416823337,-3.775827911710329,94
-2.5315097137708085,-2.99277985575869,-2.7815466782794305,-2.889014945726834,-3.118603261819708,-3.2782155036994274,-3.03623251684454,-3.415200392976801,-3.176334444882481,-3.4942382268603875,-3.663121216133479,-3.6641131972612992,-3.6223140924977084,-3.387527710912928,-3.220979401175962,-3.23637105231389,-3.470503177646845,-3.7706434015970443,-3.6235762332332007,-5.9395453927089115,-3.7521529427935087,95
-2.509935338113546,-3.0089870256983597,-2.7739447658235,-2.9253814749213354,-3.156378740288711,-3.3116803685068072,-3.0248806326644124,-3.398250641694316,-3.173272265611057,-3.4597591836559696,-3.646845066351491,-3.6540993087641382,-3.6202671677432328,-3.406322504196218,-3.2169895469229384,-3.223710422793002,-3.4423194713777714,-3.7721245378508805,-3.6193771440744436,-5.935225368594487,-3.7360335581660085,96
-2.488027037590259,-3.025480316318077,-2.767739996697043,-2.9620398602092335,-3.19752163804888,-3.3462508651058473,-3.015803593536388,-3.3822673211202807,-3.1713365182800883,-3.43753187964524,-3.632191121449065,-3.6499383891762234,-3.6190052585449854,-3.428480281070503,-3.2136636859255536,-3.212717931452068,-3.415296903230785,-3.7753151809059005,-3.6158515613909956,-5.931255616705556,-3.7325970118490748,97
-2.465960539903096,-3.041814638905499,-2.7639985467020924,-2.997532633935855,-3.2413263293238783,-3.3807444259939565,-3.0102537590715746,-3.3688433901525787,-3.1714581121337,-3.4326350912033727,-3.6207569806834607,-3.6542137932728553,-3.619149115585688,-3.4541457188255458,-3.2118148539470224,-3.2048863692263283,-3.3916118789167276,-3.7810305481447246,-3.613686995911895,-5.927986409267614,-3.746970557863956,98
-2.4439115727542067,-3.057544904748281,-2.7637865916406827,-3.030402328446522,-3.287087188337363,-3.413978483668537,-3.0094834888810778,-3.3595718076890906,-3.1745679564160154,-3.450147594705543,-3.614140243311934,-3.6695088758293353,-3.62131948954806,-3.4834634947511027,-3.2122560867505587,-3.201708527051023,-3.373440804146444,-3.790085856949968,-3.613570958366178,-5.925768018506153,-3.784281450231896,99
-2.42205586384574,-3.07222602513408,-2.7681703073148487,-3.0591914760865597,-3.3340985893129935,-3.4447704706269944,-3.014745142576005,-3.3560455326276992,-3.1815969603711602,-3.495148166526924,-3.613938508591744,-3.6984069916209625,-3.626137131114822,-3.5165782861369346,-3.2158004200993773,-3.204677195861391,-3.362960084630778,-3.803296324704249,-3.6161909594828803,-5.924950716646667,-3.8496569429741436,100
-2.3998303102753757,-3.086993659806801,-2.7766039664708093,-3.084942434785636,-3.388510360439397,-3.475828164224542,-3.025619330671321,-3.3561774721616167,-3.192647104400022,-3.569734061245035,-3.6149251304805112,-3.747080247026002,-3.6279188015241397,-3.559134373596994,-3.221049318642895,-3.2130590683885996,-3.3572668009792386,-3.8120713751667834,-3.615631153197776,-5.937724284345016,-3.955036537563001,101
-2.376739840961817,-3.102940304325861,-2.7876787235062084,-3.1097457402206374,-3.454470832996832,-3.5098822515130634,-3.040574315708266,-3.357156172911488,-3.2068096569165956,-3.669803541087945,-3.6125396471323517,-3.816278555450587,-3.6228634044595798,-3.6141174328755783,-3.226382670098567,-3.2248986722171216,-3.3524912068673443,-3.8107930553625686,-3.607891984274701,-5.972395396669108,-4.101736138053644,102
-2.3530622313387513,-3.119556123702178,-2.8011660767002113,-3.1337161913577156,-3.5282721358463998,-3.5457845295349686,-3.0591939353373605,-3.35948805291635,-3.2234994591846626,-3.791136893906654,-3.609378934099262,-3.900451982211816,-3.6144149042719658,-3.677684233957963,-3.2322811448316613,-3.239855550562158,-3.3493594676049536,-3.8047355175728943,-3.5965353996847855,-6.0234896674625045,-4.278947602341615,103
