ID,rank,mean,variable,value,average,cluster
82758,565,1.4274742133153805e-4,6,1.0397786603304814e-4,6.923433272594578e-5,4
76945,524,1.6027697714579074e-4,17,1.839677455508562e-4,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,1,8.002044757789874e-6,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,9,3.219676372440715e-4,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,14,1.133195945031568e-4,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,3,0,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,18,5.4184956189572747e-5,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,16,5.7488970693329694e-5,6.923433272594578e-5,4
603,6,5.925022271804319e-5,18,4.813640294050416e-5,6.923433272594578e-5,4
82758,565,1.4274742133153805e-4,11,2.1580595285637744e-4,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,6,3.3880428257959505e-5,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,1,2.118188318238496e-5,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,14,3.1514085578770464e-4,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,17,8.848148082606311e-5,6.923433272594578e-5,4
10693,83,6.709684471944333e-5,1,3.24788875463236e-5,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,15,4.289466036544106e-5,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,15,3.367230838687123e-4,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,7,7.026554145455153e-5,6.923433272594578e-5,4
82758,565,1.4274742133153805e-4,7,1.2209260749195124e-4,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,9,1.1958797954779798e-4,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,12,2.4176635190769849e-4,6.923433272594578e-5,4
603,6,5.925022271804319e-5,7,3.463443355383923e-5,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,13,2.68410075450241e-4,6.923433272594578e-5,4
74464,513,1.305800102862228e-4,10,2.342015314602616e-4,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,6,5.3741368960901286e-5,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,7,1.7142798766216826e-4,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,11,1.480475246477084e-4,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,10,2.580618259611587e-4,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,11,1.2530668230370303e-4,6.923433272594578e-5,4
21439,146,1.3941142863364782e-4,8,3.239762669415363e-4,6.923433272594578e-5,4
603,6,5.925022271804319e-5,11,1.276271764204383e-4,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,16,4.859564926010742e-5,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,17,9.659228323511888e-5,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,6,1.2033393484723549e-4,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,4,0,6.923433272594578e-5,4
95946,645,1.1805582883143584e-4,15,1.1295593896232812e-4,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,7,9.842159175371578e-5,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,15,8.221476570042869e-5,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,9,1.7805321399338812e-4,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,10,1.364438200099843e-4,6.923433272594578e-5,4
9954,76,1.2408319880666705e-4,5,3.8365230642236405e-5,6.923433272594578e-5,4
107726,708,1.0187775795033651e-4,10,1.892607825944943e-4,6.923433272594578e-5,4
101857,685,9.490655858601584e-5,2,2.526726449014451e-7,6.923433272594578e-5,4
76945,524,1.6027697714579074e-4,9,3.5671969967676496e-4,6.923433272594578e-5,4
86284,585,1.1746627060843388e-4,8,1.2112506282530732e-4,6.923433272594578e-5,4
10693,83,6.709684471944333e-5,2,1.4402340759382366e-5,6.923433272594578e-5,4
65366,456,1.370242982750454e-4,14,4.869932986912523e-5,6.923433272594578e-5,4
10693,83,6.709684471944333e-5,16,2.159806633782552e-5,6.923433272594578e-5,4
57094,402,7.170004410875248e-5,1,2.1887945955131123e-5,6.923433272594578e-5,4
76945,524,1.6027697714579074e-4,13,2.3717997233181675e-4,6.923433272594578e-5,4
